-Cp        Points_0        Points_1        Points_2
-0        -2.0147        19.7189        0
-0        -1.8917        19.7336        0
-0        -1.77109        19.7472        0
-0        -1.65274        19.7599        0
-0        -1.53659        19.7717        0
-0        -1.42253        19.7827        0
-0        -1.31049        19.7929        0
-0        -1.20039        19.8024        0
-0        -1.09214        19.8112        0
-0        -0.98569        19.8193        0
-0        -0.880956        19.8267        0
-0        -0.777876        19.8335        0
-0        -0.676388        19.8398        0
0.0751466        -0.57643        19.8455        0
0.151824        -0.477946        19.8507        0
0.13882        -0.38088        19.8554        0
0.119275        -0.285179        19.8596        0
0.103547        -0.190793        19.8634        0
0.0831458        -0.0976738        19.8667        0
0.0699321        -0.00577383        19.8696        0
0.0553933        0.0849514        19.8721        0
0.0657578        0.174545        19.8742        0
0.0584695        0.263048        19.876        0
0.0495485        0.350501        19.8774        0
0.0445087        0.436942        19.8784        0
0.0214266        0.522407        19.8791        0
0.00824235        0.606934        19.8795        0
-0.0068003        0.690555        19.8796        0
-0.00990486        0.773305        19.8794        0
-0.0211939        0.855215        19.8789        0
-0.0387056        0.936317        19.8782        0
-0.0451967        1.01664        19.8772        0
-0.0530457        1.09621        19.8759        0
-0.059268        1.17507        19.8743        0
-0.0631787        1.25323        19.8726        0
-0.0679229        1.33072        19.8706        0
-0.0752073        1.40757        19.8683        0
-0.0843191        1.48381        19.8659        0
-0.0895068        1.55946        19.8632        0
-0.0934848        1.63454        19.8603        0
-0.098847        1.70907        19.8572        0
-0.102919        1.78309        19.854        0
-0.107354        1.85661        19.8505        0
-0.106387        1.92965        19.8468        0
-0.108241        2.00224        19.8429        0
-0.114961        2.07439        19.8389        0
-0.123092        2.14613        19.8347        0
-0.128992        2.21748        19.8303        0
-0.13637        2.28846        19.8257        0
-0.14731        2.35908        19.821        0
-0.147404        2.42938        19.8161        0
-0.148896        2.49936        19.811        0
-0.157174        2.56905        19.8058        0
-0.160171        2.63847        19.8004        0
-0.166971        2.70763        19.7949        0
-0.187373        2.77656        19.7891        0
-0.195114        2.84527        19.7833        0
-0.200489        2.91379        19.7773        0
-0.205032        2.98213        19.7711        0
-0.211846        3.05031        19.7648        0
-0.216523        3.11835        19.7583        0
-0.223337        3.18628        19.7517        0
-0.231226        3.2541        19.7449        0
-0.237851        3.32184        19.738        0
-0.240902        3.38953        19.7309        0
-0.245001        3.45718        19.7237        0
-0.248428        3.52481        19.7164        0
-0.253495        3.59244        19.7088        0
-0.259247        3.6601        19.7012        0
-0.263279        3.7278        19.6933        0
-0.265254        3.79558        19.6854        0
-0.273049        3.86345        19.6773        0
-0.272726        3.93143        19.669        0
-0.284486        3.99956        19.6605        0
-0.288612        4.06785        19.6519        0
-0.292348        4.13635        19.6431        0
-0.300895        4.20506        19.6342        0
-0.301043        4.27402        19.6251        0
-0.308234        4.34326        19.6159        0
-0.314012        4.41282        19.6064        0
-0.318622        4.48272        19.5968        0
-0.313959        4.553        19.587        0
-0.318864        4.62369        19.577        0
-0.326632        4.69483        19.5668        0
-0.327707        4.76647        19.5565        0
-0.336335        4.83864        19.5459        0
-0.331564        4.9114        19.5352        0
-0.337841        4.98478        19.5242        0
-0.342558        5.05884        19.513        0
-0.339198        5.13364        19.5015        0
-0.338365        5.20924        19.4899        0
-0.342464        5.28569        19.4779        0
-0.342706        5.36307        19.4658        0
-0.337357        5.44146        19.4533        0
-0.337464        5.52092        19.4406        0
-0.342249        5.60156        19.4276        0
-0.327277        5.68348        19.4143        0
-0.337209        5.76677        19.4007        0
-0.319885        5.85155        19.3867        0
-0.325369        5.93797        19.3724        0
-0.317789        6.02615        19.3577        0
-0.311768        6.11627        19.3426        0
-0.319375        6.20851        19.327        0
-0.302683        6.30308        19.311        0
-0.307467        6.40022        19.2945        0
-0.273331        6.50019        19.2775        0
-0.277041        6.6033        19.2599        0
-0.292684        6.70992        19.2417        0
-0.281583        6.82048        19.2228        0
-0.283828        6.93547        19.2031        0
-0.276409        7.0555        19.1826        0
-0.285669        7.1813        19.1612        0
-0.276503        7.31376        19.1388        0
-0.275441        7.45399        19.1152        0
-0.267539        7.60341        19.0903        0
-0.257567        7.76387        19.0638        0
-0.241292        7.93779        19.0355        0
-0.212168        8.12856        19.0051        0
-0.195356        8.34097        18.9721        0
-0.195947        8.58226        18.9358        0
-0.191566        8.86393        18.8954        0
-0.191861        9.20602        18.8492        0
-0.196659        9.64735        18.7949        0
-0.0671167        10.2753        18.7287        0
-0        11.3161        18.6473        0
0.00256962        13.1862        18.5745        0
-0.00924351        16.269        18.5594        0
-0.0543896        20.823        18.5683        0
-0.0851522        26.9997        18.5691        0
