-Cp        Points_0        Points_1        Points_2
1.3742        0.115505        0.0410546        0
1.37951        0.109021        0.0399969        0
1.38315        0.102749        0.0389336        0
1.38647        0.0966872        0.0378628        0
1.39127        0.0908329        0.0367838        0
1.3971        0.0851818        0.0356991        0
1.40522        0.0797307        0.0346098        0
1.41531        0.0744745        0.033516        0
1.42588        0.0694101        0.0324216        0
1.43711        0.0645318        0.0313264        0
1.44841        0.0598369        0.0302303        0
1.46132        0.0553204        0.0291348        0
1.47252        0.0509777        0.0280384        0
1.48096        0.0468076        0.0269373        0
1.48802        0.0428034        0.0258313        0
1.4969        0.0389629        0.0247194        0
1.5097        0.0352819        0.0236032        0
1.51314        0.0317551        0.0224796        0
1.51088        0.0283872        0.0213369        0
1.50897        0.0251688        0.0201739        0
1.49229        0.0221047        0.0189841        0
1.47064        0.0191921        0.0177638        0
1.44125        0.0164285        0.0165055        0
1.37965        0.0138339        0.0151926        0
1.28718        0.0113919        0.0138152        0
1.17352        0.00913905        0.0123706        0
1.0197        0.00706436        0.0108358        0
0.990237        0.00517768        0.00924424        0
1.02399        0.00343074        0.00761068        0
0.868704        0.00200858        0.0058666        0
0.535904        0.000872294        0.00396631        0
0.124685        0.000270528        0.00199487        0
-0.303825        0        0        0
0.29146        -0.57643        19.8455        0
0.656979        -0.477946        19.8507        0
0.775074        -0.38088        19.8554        0
0.863139        -0.285179        19.8596        0
0.927296        -0.190793        19.8634        0
0.969262        -0.0976738        19.8667        0
1.0125        -0.00577383        19.8696        0
1.04303        0.0849514        19.8721        0
1.06733        0.174545        19.8742        0
1.08945        0.263048        19.876        0
1.10695        0.350501        19.8774        0
1.10932        0.436942        19.8784        0
1.08684        0.522407        19.8791        0
1.05105        0.606934        19.8795        0
0.98349        0.690555        19.8796        0
0.791811        0.773305        19.8794        0
0.487274        0.855215        19.8789        0
0.296169        0.936317        19.8782        0
0.24942        1.01664        19.8772        0
0.226684        1.09621        19.8759        0
0.214985        1.17507        19.8743        0
0.19864        1.25323        19.8726        0
0.193783        1.33072        19.8706        0
0.184244        1.40757        19.8683        0
0.182391        1.48381        19.8659        0
0.194014        1.55946        19.8632        0
0.190401        1.63454        19.8603        0
0.190898        1.70907        19.8572        0
0.208108        1.78309        19.854        0
0.200541        1.85661        19.8505        0
0.219955        1.92965        19.8468        0
0.202484        2.00224        19.8429        0
0.215048        2.07439        19.8389        0
0.199706        2.14613        19.8347        0
0.199003        2.21748        19.8303        0
0.190563        2.28846        19.8257        0
0.184096        2.35908        19.821        0
0.254349        2.42938        19.8161        0
0.221942        2.49936        19.811        0
0.204734        2.56905        19.8058        0
0.199498        2.63847        19.8004        0
0.192283        2.70763        19.7949        0
0.189218        2.77656        19.7891        0
0.177378        2.84527        19.7833        0
0.178192        2.91379        19.7773        0
0.175885        2.98213        19.7711        0
0.17924        3.05031        19.7648        0
0.171858        3.11835        19.7583        0
0.169799        3.18628        19.7517        0
0.17192        3.2541        19.7449        0
0.161045        3.32184        19.738        0
0.167281        3.38953        19.7309        0
0.167786        3.45718        19.7237        0
0.168212        3.52481        19.7164        0
0.165233        3.59244        19.7088        0
0.164905        3.6601        19.7012        0
0.170405        3.7278        19.6933        0
0.169228        3.79558        19.6854        0
0.180344        3.86345        19.6773        0
0.180322        3.93143        19.669        0
0.169173        3.99956        19.6605        0
0.196893        4.06785        19.6519        0
0.199218        4.13635        19.6431        0
0.196697        4.20506        19.6342        0
0.195384        4.27402        19.6251        0
0.189475        4.34326        19.6159        0
0.197471        4.41282        19.6064        0
0.188348        4.48272        19.5968        0
0.200308        4.553        19.587        0
0.185322        4.62369        19.577        0
0.20152        4.69483        19.5668        0
0.244187        4.76647        19.5565        0
0.247772        4.83864        19.5459        0
0.199409        4.9114        19.5352        0
0.204508        4.98478        19.5242        0
0.213141        5.05884        19.513        0
0.224562        5.13364        19.5015        0
0.208018        5.20924        19.4899        0
0.228239        5.28569        19.4779        0
0.22611        5.36307        19.4658        0
0.239664        5.44146        19.4533        0
0.243869        5.52092        19.4406        0
0.252354        5.60156        19.4276        0
0.258462        5.68348        19.4143        0
0.263488        5.76677        19.4007        0
0.269703        5.85155        19.3867        0
0.269619        5.93797        19.3724        0
0.269785        6.02615        19.3577        0
0.275213        6.11627        19.3426        0
0.255597        6.20851        19.327        0
0.279059        6.30308        19.311        0
0.293336        6.40022        19.2945        0
0.28667        6.50019        19.2775        0
0.282369        6.6033        19.2599        0
0.272236        6.70992        19.2417        0
0.270029        6.82048        19.2228        0
0.25768        6.93547        19.2031        0
0.252995        7.0555        19.1826        0
0.241554        7.1813        19.1612        0
0.25364        7.31376        19.1388        0
0.265077        7.45399        19.1152        0
0.295418        7.60341        19.0903        0
0.312885        7.76387        19.0638        0
0.329461        7.93779        19.0355        0
0.305197        8.12856        19.0051        0
0.325109        8.34097        18.9721        0
0.399721        8.58226        18.9358        0
0.38601        8.86393        18.8954        0
0.390007        9.20602        18.8492        0
0.380285        9.64735        18.7949        0
0.445449        10.2753        18.7287        0
0.384973        11.3161        18.6473        0
0.0361038        13.1862        18.5745        0
0.0673545        16.269        18.5594        0
0.133861        20.823        18.5683        0
0.0995217        26.9997        18.5691        0
0.0964657        26.9997        18.0877        0
0.0917375        26.9998        17.6178        0
0.087937        26.9998        17.1591        0
0.0852061        26.9999        16.7115        0
0.0809861        26.9999        16.2747        0
0.0759302        27        15.8483        0
0.0729399        27        15.4322        0
0.0697842        27        15.0261        0
0.0674338        27.0001        14.6298        0
0.0648198        27.0001        14.2429        0
0.0622609        27.0001        13.8654        0
0.0587088        27.0001        13.4969        0
0.0571029        27.0002        13.1373        0
0.0543101        27.0002        12.7863        0
0.0515255        27.0002        12.4438        0
0.0502353        27.0002        12.1095        0
0.0512285        27.0002        11.7832        0
0.0510497        27.0002        11.4647        0
0.0501171        27.0002        11.1539        0
0.0507835        27.0003        10.8506        0
0.0505229        27.0003        10.5546        0
0.0525805        27.0003        10.2657        0
0.0544633        27.0003        9.98367        0
0.0582263        27.0003        9.70846        0
0.0615055        27.0003        9.43986        0
0.0620606        27.0003        9.17771        0
0.0616051        27.0003        8.92187        0
0.0611373        27.0003        8.67216        0
0.0637326        27.0003        8.42846        0
0.0645456        27.0003        8.19062        0
0.0664015        27.0003        7.95848        0
0.0715516        27.0003        7.73193        0
0.0715798        27.0003        7.51082        0
0.0725985        27.0003        7.29502        0
0.0759302        27.0003        7.0844        0
0.0800426        27.0003        6.87885        0
0.0844212        27.0003        6.67823        0
0.0866454        27.0003        6.48243        0
0.0883145        27.0003        6.29134        0
0.0945007        27.0003        6.10484        0
0.0994719        27.0003        5.92282        0
0.101774        27.0003        5.74517        0
0.104704        27.0003        5.57179        0
0.10537        27.0003        5.40257        0
0.107287        27.0003        5.23742        0
0.110916        27.0003        5.07624        0
0.111498        27.0002        4.91893        0
0.110437        27.0002        4.7654        0
0.114489        27.0002        4.61556        0
0.116853        27.0002        4.46932        0
0.114421        27.0002        4.32659        0
0.117619        27.0002        4.18729        0
0.120868        27.0002        4.05134        0
0.118815        27.0002        3.91865        0
0.113454        27.0002        3.78916        0
0.109497        27.0002        3.66277        0
0.110482        27.0002        3.53942        0
0.115898        27.0002        3.41903        0
0.120143        27.0002        3.30154        0
0.118393        27.0002        3.18686        0
0.112066        27.0002        3.07495        0
0.110701        27.0002        2.96572        0
0.108001        27.0002        2.85912        0
0.106259        27.0002        2.75507        0
0.10786        27.0002        2.65353        0
0.108429        27.0002        2.55443        0
0.109494        27.0002        2.4577        0
0.110155        27.0002        2.3633        0
0.107366        27.0002        2.27117        0
0.106665        27.0002        2.18126        0
0.104051        27.0002        2.0935        0
0.103613        27.0002        2.00785        0
0.105287        27.0002        1.92426        0
0.104982        27.0002        1.84268        0
0.104857        27.0002        1.76305        0
0.105807        27.0002        1.68534        0
0.106823        27.0002        1.6095        0
0.107739        27.0001        1.53548        0
0.110023        27.0001        1.46324        0
0.111237        27.0001        1.39273        0
0.110508        27.0001        1.32392        0
0.112278        27.0001        1.25676        0
0.113489        27.0001        1.19121        0
0.112249        27.0001        1.12724        0
0.113296        27.0001        1.06481        0
0.113467        27.0001        1.00387        0
0.114293        27.0001        0.944401        0
0.113753        27.0001        0.886359        0
0.110405        27.0001        0.829712        0
0.109656        27.0001        0.774425        0
0.111932        27.0001        0.720467        0
0.111795        27.0001        0.667806        0
0.112921        27.0001        0.616409        0
0.113092        27.0001        0.566247        0
0.113377        27.0001        0.517291        0
0.112254        27.0001        0.46951        0
0.113851        27.0001        0.422878        0
0.114992        27.0001        0.377366        0
0.11511        27.0001        0.332947        0
0.115028        27.0001        0.289596        0
0.114962        27.0001        0.247286        0
0.116145        27.0001        0.205992        0
0.117091        27.0001        0.165691        0
0.117105        27.0001        0.126357        0
0.117619        27.0001        0.0879692        0
0.118813        27.0001        0.0505033        0
0.121138        27.0001        0.0139375        0
0.122992        27.0001        -0.0217499        0
0.122806        27.0001        -0.0565798        0
0.122382        27.0001        -0.0905729        0
0.123277        27.0001        -0.123749        0
0.123644        27.0001        -0.156129        0
0.125061        27.0001        -0.18773        0
0.124905        27.0001        -0.218573        0
0.125195        27.0001        -0.248674        0
0.125636        27.0001        -0.278052        0
0.126176        27.0001        -0.306724        0
0.126337        27.0001        -0.334707        0
0.126308        27.0001        -0.362019        0
0.127095        27.0001        -0.388674        0
0.127988        27.0001        -0.414688        0
0.129127        27.0001        -0.440078        0
0.130169        27.0001        -0.464857        0
0.130873        27.0001        -0.489042        0
0.131276        27.0001        -0.512645        0
0.131315        27.0001        -0.535681        0
0.132563        27.0001        -0.558164        0
0.133948        27.0001        -0.580106        0
0.133769        27.0001        -0.601522        0
0.133427        27.0001        -0.622423        0
0.134061        27.0001        -0.642821        0
0.134847        27.0001        -0.66273        0
0.134972        27.0001        -0.68216        0
0.134451        27.0001        -0.701124        0
0.133717        27.0001        -0.719632        0
0.133708        27.0001        -0.737695        0
0.134225        27.0001        -0.755324        0
0.134539        27.0001        -0.77253        0
0.135414        27.0001        -0.789323        0
0.137031        27.0001        -0.805712        0
0.137999        27.0001        -0.821707        0
0.138761        27.0001        -0.837318        0
0.13923        27.0001        -0.852554        0
0.139367        27.0001        -0.867424        0
0.140325        27.0001        -0.881936        0
0.141224        27.0001        -0.8961        0
0.142234        27.0001        -0.909924        0
0.142294        27.0001        -0.923415        0
0.142162        27.0001        -0.936583        0
0.142561        27.0001        -0.949434        0
0.143177        27.0001        -0.961976        0
0.143355        27.0001        -0.974217        0
0.143024        27.0001        -0.986164        0
0.143173        27.0001        -0.997824        0
0.14317        27.0001        -1.0092        0
0.14318        27.0001        -1.02031        0
0.143225        27.0001        -1.03115        0
0.14335        27.0001        -1.04173        0
0.143563        27.0001        -1.05205        0
0.143752        27.0001        -1.06213        0
0.143668        27        -1.07197        0
0.143522        27        -1.08156        0
0.143776        27        -1.09093        0
0.143805        27        -1.10007        0
0.143833        27        -1.109        0
0.143344        27        -1.11771        0
0.14324        27        -1.12621        0
0.14315        27        -1.1345        0
0.143015        27        -1.1426        0
0.143359        27        -1.1505        0
0.143329        27        -1.15821        0
0.143595        27        -1.16574        0
0.143618        27        -1.17308        0
0.14424        27        -1.18025        0
0.144624        27        -1.18725        0
0.144999        27        -1.19408        0
0.145331        27        -1.20074        0
0.145567        27        -1.20725        0
0.145478        27        -1.21359        0
0.145873        27        -1.21979        0
0.146366        27        -1.22584        0
0.146457        27        -1.23174        0
0.146404        27        -1.2375        0
0.146546        27        -1.24312        0
0.146745        27        -1.24861        0
0.146428        27        -1.25396        0
0.146312        27        -1.25919        0
0.146034        27        -1.26429        0
