-Cp    Points_0    Points_1    Points_2
-0.05787    1.25323    19.8726    0
-0.0615526    1.33072    19.8706    0
-0.0633268    1.40757    19.8683    0
-0.0667133    1.48381    19.8659    0
-0.0679363    1.55946    19.8632    0
-0.0694282    1.63454    19.8603    0
-0.0730028    1.70907    19.8572    0
-0.0755566    1.78309    19.854    0
-0.0770619    1.85661    19.8505    0
-0.0798304    1.92965    19.8468    0
-0.0806096    2.00224    19.8429    0
-0.0833246    2.07439    19.8389    0
-0.0829615    2.14613    19.8347    0
-0.0858645    2.21748    19.8303    0
-0.0862138    2.28846    19.8257    0
-0.089816    2.35908    19.821    0
-0.0893052    2.42938    19.8161    0
-0.0912133    2.49936    19.811    0
-0.0935521    2.56905    19.8058    0
-0.0956082    2.63847    19.8004    0
-0.0957425    2.70763    19.7949    0
-0.0966563    2.77656    19.7891    0
-0.0973286    2.84527    19.7833    0
-0.0998951    2.91379    19.7773    0
-0.101252    2.98213    19.7711    0
-0.102099    3.05031    19.7648    0
-0.102852    3.11835    19.7583    0
-0.103752    3.18628    19.7517    0
-0.104586    3.2541    19.7449    0
-0.10515    3.32184    19.738    0
-0.105634    3.38953    19.7309    0
-0.106736    3.45718    19.7237    0
-0.106709    3.52481    19.7164    0
-0.0897621    3.59244    19.7088    0
-0.103363    3.6601    19.7012    0
-0.108201    3.7278    19.6933    0
-0.109397    3.79558    19.6854    0
-0.11015    3.86345    19.6773    0
-0.110513    3.93143    19.669    0
-0.110916    3.99956    19.6605    0
-0.111292    4.06785    19.6519    0
-0.11191    4.13635    19.6431    0
-0.112435    4.20506    19.6342    0
-0.112502    4.27402    19.6251    0
-0.112972    4.34326    19.6159    0
-0.11308    4.41282    19.6064    0
-0.114531    4.48272    19.5968    0
-0.114356    4.553    19.587    0
-0.115458    4.62369    19.577    0
-0.115297    4.69483    19.5668    0
-0.116358    4.76647    19.5565    0
-0.116721    4.83864    19.5459    0
-0.116735    4.9114    19.5352    0
-0.117649    4.98478    19.5242    0
-0.118227    5.05884    19.513    0
-0.118025    5.13364    19.5015    0
-0.119934    5.20924    19.4899    0
-0.119194    5.28569    19.4779    0
-0.119772    5.36307    19.4658    0
-0.121627    5.44146    19.4533    0
-0.121036    5.52092    19.4406    0
-0.123495    5.60156    19.4276    0
-0.122151    5.68348    19.4143    0
-0.124221    5.76677    19.4007    0
-0.123226    5.85155    19.3867    0
-0.124987    5.93797    19.3724    0
-0.123495    6.02615    19.3577    0
-0.125484    6.11627    19.3426    0
-0.124059    6.20851    19.327    0
-0.126062    6.30308    19.311    0
-0.125444    6.40022    19.2945    0
-0.126049    6.50019    19.2775    0
-0.126197    6.6033    19.2599    0
-0.12707    6.70992    19.2417    0
-0.131693    6.82048    19.2228    0
-0.131277    6.93547    19.2031    0
-0.132728    7.0555    19.1826    0
-0.133265    7.1813    19.1612    0
-0.134448    7.31376    19.1388    0
-0.134703    7.45399    19.1152    0
-0.136262    7.60341    19.0903    0
-0.136733    7.76387    19.0638    0
-0.139541    7.93779    19.0355    0
-0.140966    8.12856    19.0051    0
-0.143547    8.34097    18.9721    0
-0.144111    8.58226    18.9358    0
-0.143748    8.86393    18.8954    0
-0.144958    9.20602    18.8492    0
-0.141706    9.64735    18.7949    0
-0.138789    10.2753    18.7287    0
-0.117676    11.3161    18.6473    0
-0.103497    13.1862    18.5745    0
-0.0819669    16.269    18.5594    0
-0.0626949    20.823    18.5683    0
-0.0740782    26.9997    18.5691    0
-0.0726401    26.9997    18.0877    0
-0.0712828    26.9998    17.6178    0
-0.0698986    26.9998    17.1591    0
-0.0685009    26.9999    16.7115    0
-0.067009    26.9999    16.2747    0
-0.0656652    27    15.8483    0
-0.0643348    27    15.4322    0
-0.0630576    27    15.0261    0
-0.0618887    27.0001    14.6298    0
-0.0607865    27.0001    14.2429    0
-0.0595503    27.0001    13.8654    0
-0.0583134    27.0001    13.4969    0
